name,price,socket,ram_type,ram_slots_count
ASUS A88X-Plus/USB3.1 GL/SATA600/R/USB3.0/DVI/HDMI/VGA,0,16,1,4
ASUS A88XM-E USB 3.1,0,16,2,2
ASUS A88XM-Plus GL/SATA600/R/USB3.0/DVI/HDMI/VGA A88X,0,16,1,4
ASUS AM1I-A GL/SATA600/HDMI/DVI/VGA Mini-ITX,0,17,1,2
ASUS AM1M-A GL/SATA600/HDMI/DVI/VGA,4243,17,1,2
ASUS B150 Pro Gaming/Aura,0,6,2,4
Asus B150-PLUS,6315,6,2,4
ASUS B150-Pro,0,6,2,4
ASUS B150-PRO Gaming USB3.1/M.2/SATA600/HDMI/VGA,0,6,2,4
ASUS B150I Pro Gaming/WiFi/Aura,0,6,2,2
ASUS B150M-A D3,0,6,1,4
Asus B150M-A D3,5056,6,1,4
ASUS B150M-C,0,6,2,4
ASUS B150M-C D3,0,6,1,4
ASUS B150M-Plus D3,0,6,1,4
Asus B150M-PLUS D3,6250,6,1,4
ASUS B150M-PRO Gaming USB3.0/M.2/SATA600/HDMI,0,6,2,4
ASUS B250 Mining Expert BTC,0,6,2,2
Asus CROSSBLADE RANGER,12950,16,1,4
"ASUS Crossblade RANGER, RoG",0,16,1,4
"ASUS Crosshair V Formula Z, RoG",0,13,1,4
ASUS E3 PRO GAMING V5,0,6,2,4
ASUS EX-A320M,0,18,2,4
Asus EX-B250-V7,6905,6,2,4
ASUS H110-PLUS,0,6,2,2
ASUS H110I-PLUS,0,6,2,2
ASUS H110M-A/M.2,0,6,2,2
ASUS H110M-C,0,6,2,2
ASUS H110M-D,0,6,2,2
ASUS H110M-K,4864,6,2,2
Asus H110M-K,5459,6,2,2
ASUS H110M-PLUS USB3.1/GL/SATA600/DVI/VGA/HDMI,0,6,2,2
Asus H170 PRO GAMING,5808,6,2,4
ASUS H170-Plus D3,0,6,1,4
ASUS H170-PRO,0,6,2,4
ASUS H170-PRO Gaming,0,6,2,4
ASUS H170-PRO USB 3.1,0,6,2,4
ASUS H170I-Plus D3 M.2/SATA600/DVI/HDMI/DP/VGA WiFi/BT ITX,0,6,1,2
ASUS H170I-Pro 2x GL/M.2/SATAe/DVI/HDMI/DP/VGA WiFi/BT ITX,0,6,2,2
ASUS H170M-E D3,0,6,1,4
ASUS H170M-Plus,0,6,2,4
Asus H370 MINING MASTER,3710,6,2,2
ASUS M5A78L-M LE/USB3 GL/SATA300/DVI/VGA/Seriell 760G,0,13,1,2
ASUS M5A78L-M LX3 GL/SATA300/CF/VGA 760G,4795,13,1,2
ASUS M5A78L-M PLUS/USB3,2519,13,1,4
Asus M5A97 LE R2.0,82603,13,1,4
ASUS M5A97 LE R2.0 GL/SATA600/R/USB3.0 AMD970,0,13,1,4
ASUS M5A97 PLUS GL/SATA600/R AMD970,0,13,1,4
ASUS M5A97 R2.0 GL/SATA600/R/USB3.0 AMD970,0,13,1,4
ASUS M5A99FX PRO R2.0,0,13,1,4
ASUS M5A99X EVO R2.0 GL/SATA600/R/eSATA/USB3.0 AMD990X,0,13,1,4
"ASUS Maximus IX FORMULA, RoG",0,6,2,4
"ASUS Maximus IX HERO, RoG",0,6,2,4
"ASUS Maximus TUF MARK 1, RoG",0,6,2,4
"ASUS Maximus TUF MARK 2, RoG",0,6,2,4
ASUS Maximus VIII Extreme,0,6,2,4
ASUS Maximus VIII GENE,0,6,2,4
Asus MAXIMUS VIII GENE,13860,6,2,4
ASUS Maximus VIII HERO,0,6,2,4
ASUS Maximus VIII HERO ALPHA,0,6,2,4
Asus MAXIMUS VIII IMPACT,16379,6,2,2
"ASUS Maximus VIII Impact, RoG",0,6,2,2
"ASUS Maximus X APEX, RoG",0,6,2,2
