name,price,voltage
Seasonic Focus Plus Gold,13999,1000
Seasonic Focus Plus PCGH Edition,0,550
Seasonic Focus Plus Platinum,7559,550
Seasonic Focus PX 80 PLUS Platinum,7699,550
Seasonic Focus PX 80 PLUS Platinum,13299,850
Seasonic Focus PX 80 Plus Platinum 650 Watt,10219,650
Seasonic Focus SGX 80 PLUS Gold SFX,5949,450
Seasonic Focus SGX 80 PLUS Gold SFX,9099,650
Seasonic Focus SGX 80 PLUS Gold SFX-L,8259,500
Seasonic Focus+,8819,650
Seasonic Focus+,9799,750
Seasonic Focus+,12249,850
Seasonic G-360,0,360
Seasonic G-450,8652,450
Seasonic G-550,4830,550
Seasonic G-Series,0,650
Seasonic G-Series,0,550
Seasonic G-Series,0,550
Seasonic G-Series,0,450
Seasonic G-Series,0,360
Seasonic G-Series,8679,750
Seasonic G12 80 PLUS Gold,0,750
Seasonic G12 80 PLUS Gold,0,550
Seasonic G12 80 PLUS Gold,0,650
Seasonic G12-GC-550 Gold,0,550
Seasonic G12-GC-650 Gold,0,650
Seasonic M12II 850,6293,850
Seasonic M12II EVO 620,5599,620
Seasonic M12II Evo 80 PLUS Bronze,3743,520
Seasonic M12II Evo AM2 80 PLUS Bronze,5599,620
Seasonic M12II-750 EVO,0,750
Seasonic P-Series,0,860
Seasonic P-Series,0,520
Seasonic P-Series,0,760
Seasonic P-Series,0,660
Seasonic P-Series,17499,1050
Seasonic Platinum 1000,0,1000
Seasonic Platinum 460 Fanless,8773,460
Seasonic Platinum 520 Fanless,10695,520
Seasonic PLATINUM 660,0,660
Seasonic Platinum 760,2495,760
Seasonic PLATINUM 860,8773,860
Seasonic Prime,0,850
Seasonic Prime,0,650
Seasonic Prime,0,750
Seasonic Prime,8399,550
Seasonic Prime,17499,850
Seasonic Prime,18193,1000
Seasonic Prime,18874,1000
Seasonic PRIME 1200 PLATINUM,16093,1000
Seasonic PRIME 1200 W Gold,0,1200
Seasonic PRIME 750 GOLD,0,750
Seasonic Prime 80 PLUS Gold,19599,1300
Seasonic Prime 80 PLUS Platinum,18513,1300
Seasonic Prime Fanless 80 PLUS Titanium,15399,600
Seasonic Prime Fanless PX,10499,450
Seasonic Prime Fanless PX,10919,500
Seasonic Prime Fanless TX,17499,700
Seasonic PRIME Fanless TX-600,0,600
Seasonic Prime GX 80 PLUS Gold,0,650
Seasonic Prime PX 80 PLUS Platinum,17429,1000
Seasonic Prime Snow Silent 80 PLUS Gold,6649,550
Seasonic Prime Snow Silent 80 PLUS Platinum,10493,650
Seasonic Prime Snow Silent 80 PLUS Titanium,13753,750
